STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,TMAX,TMIN
USC00047339,"REDWOOD CITY, CA US",37.4767,-122.2386,30.84,2015-01-01,56,32
USC00047339,"REDWOOD CITY, CA US",37.4767,-122.2386,30.84,2015-01-02,53,30
USC00047339,"REDWOOD CITY, CA US",37.4767,-122.2386,30.84,2015-01-03,55,31
USC00047339,"REDWOOD CITY, CA US",37.4767,-122.2386,30.84,2015-01-04,57,34
USC00047339,"REDWOOD CITY, CA US",37.4767,-122.2386,30.84,2015-01-05,64,36
USC00047339,"REDWOOD CITY, CA US",37.4767,-122.2386,30.84,2015-01-06,65,38
USC00047339,"REDWOOD CITY, CA US",37.4767,-122.2386,30.84,2015-01-07,70,38
USC00047339,"REDWOOD CITY, CA US",37.4767,-122.2386,30.84,2015-01-08,62,43
USC00047339,"REDWOOD CITY, CA US",37.4767,-122.2386,30.84,2015-01-09,65,46
USC00047339,"REDWOOD CITY, CA US",37.4767,-122.2386,30.84,2015-01-10,61,45
USC00047339,"REDWOOD CITY, CA US",37.4767,-122.2386,30.84,2015-01-11,58,40
USC00047339,"REDWOOD CITY, CA US",37.4767,-122.2386,30.84,2015-01-12,63,41
USC00047339,"REDWOOD CITY, CA US",37.4767,-122.2386,30.84,2015-01-13,65,40
USC00047339,"REDWOOD CITY, CA US",37.4767,-122.2386,30.84,2015-01-14,63,36
USC00047339,"REDWOOD CITY, CA US",37.4767,-122.2386,30.84,2015-01-15,61,38
USC00047339,"REDWOOD CITY, CA US",37.4767,-122.2386,30.84,2015-01-16,63,43
USC00047339,"REDWOOD CITY, CA US",37.4767,-122.2386,30.84,2015-01-17,62,46
USC00047339,"REDWOOD CITY, CA US",37.4767,-122.2386,30.84,2015-01-18,65,47
USC00047339,"REDWOOD CITY, CA US",37.4767,-122.2386,30.84,2015-01-19,62,46
USC00047339,"REDWOOD CITY, CA US",37.4767,-122.2386,30.84,2015-01-20,62,43
USC00047339,"REDWOOD CITY, CA US",37.4767,-122.2386,30.84,2015-01-21,64,40
USC00047339,"REDWOOD CITY, CA US",37.4767,-122.2386,30.84,2015-01-22,59,39
USC00047339,"REDWOOD CITY, CA US",37.4767,-122.2386,30.84,2015-01-23,68,38
USC00047339,"REDWOOD CITY, CA US",37.4767,-122.2386,30.84,2015-01-24,73,42
USC00047339,"REDWOOD CITY, CA US",37.4767,-122.2386,30.84,2015-01-25,67,40
USC00047339,"REDWOOD CITY, CA US",37.4767,-122.2386,30.84,2015-01-26,64,39
USC00047339,"REDWOOD CITY, CA US",37.4767,-122.2386,30.84,2015-01-27,68,50
USC00047339,"REDWOOD CITY, CA US",37.4767,-122.2386,30.84,2015-01-28,68,43
USC00047339,"REDWOOD CITY, CA US",37.4767,-122.2386,30.84,2015-01-29,67,42
USC00047339,"REDWOOD CITY, CA US",37.4767,-122.2386,30.84,2015-01-30,66,42
USC00047339,"REDWOOD CITY, CA US",37.4767,-122.2386,30.84,2015-01-31,75,41
USC00047339,"REDWOOD CITY, CA US",37.4767,-122.2386,30.84,2015-02-01,66,40
USC00047339,"REDWOOD CITY, CA US",37.4767,-122.2386,30.84,2015-02-02,68,42
USC00047339,"REDWOOD CITY, CA US",37.4767,-122.2386,30.84,2015-02-03,69,46
USC00047339,"REDWOOD CITY, CA US",37.4767,-122.2386,30.84,2015-02-04,67,45
USC00047339,"REDWOOD CITY, CA US",37.4767,-122.2386,30.84,2015-02-05,66,48
USC00047339,"REDWOOD CITY, CA US",37.4767,-122.2386,30.84,2015-02-06,64,60
USC00047339,"REDWOOD CITY, CA US",37.4767,-122.2386,30.84,2015-02-07,66,56
USC00047339,"REDWOOD CITY, CA US",37.4767,-122.2386,30.84,2015-02-08,64,54
USC00047339,"REDWOOD CITY, CA US",37.4767,-122.2386,30.84,2015-02-09,66,49
USC00047339,"REDWOOD CITY, CA US",37.4767,-122.2386,30.84,2015-02-10,65,43
USC00047339,"REDWOOD CITY, CA US",37.4767,-122.2386,30.84,2015-02-11,69,42
USC00047339,"REDWOOD CITY, CA US",37.4767,-122.2386,30.84,2015-02-12,74,45
USC00047339,"REDWOOD CITY, CA US",37.4767,-122.2386,30.84,2015-02-13,75,45
USC00047339,"REDWOOD CITY, CA US",37.4767,-122.2386,30.84,2015-02-14,77,46
USC00047339,"REDWOOD CITY, CA US",37.4767,-122.2386,30.84,2015-02-15,76,44
USC00047339,"REDWOOD CITY, CA US",37.4767,-122.2386,30.84,2015-02-16,74,44
USC00047339,"REDWOOD CITY, CA US",37.4767,-122.2386,30.84,2015-02-17,58,54
USC00047339,"REDWOOD CITY, CA US",37.4767,-122.2386,30.84,2015-02-18,66,49
USC00047339,"REDWOOD CITY, CA US",37.4767,-122.2386,30.84,2015-02-19,66,48
USC00047339,"REDWOOD CITY, CA US",37.4767,-122.2386,30.84,2015-02-20,71,49
USC00047339,"REDWOOD CITY, CA US",37.4767,-122.2386,30.84,2015-02-21,71,44
USC00047339,"REDWOOD CITY, CA US",37.4767,-122.2386,30.84,2015-02-22,66,44
USC00047339,"REDWOOD CITY, CA US",37.4767,-122.2386,30.84,2015-02-23,63,42
USC00047339,"REDWOOD CITY, CA US",37.4767,-122.2386,30.84,2015-02-24,69,36
USC00047339,"REDWOOD CITY, CA US",37.4767,-122.2386,30.84,2015-02-25,70,40
USC00047339,"REDWOOD CITY, CA US",37.4767,-122.2386,30.84,2015-02-26,72,44
USC00047339,"REDWOOD CITY, CA US",37.4767,-122.2386,30.84,2015-02-27,62,52
